id;insumo;stock
ITEM-0001;Agujas Hipodérmicas 21G;500
ITEM-0002;Gasas 5x5;499
ITEM-0003;Guante Nitrilo Talla M;498
ITEM-0004;Test Glucosa Tiras x50;497
ITEM-0005;Antiséptico Povidona 10% 120ml;496
ITEM-0006;Solución Salina 0.9% 1L;495
ITEM-0007;Catéter 18G;494
ITEM-0008;Vendas Elásticas 10cm;493
ITEM-0009;Test Glucosa Tiras x50;492
ITEM-0010;Gasas 10x10;491
ITEM-0011;Gel Ultrasónico 250ml;490
ITEM-0012;Test Glucosa Tiras x50;489
ITEM-0013;Collar isabelino Talla L;488
ITEM-0014;Clorhexidina 0.05% 1L;487
ITEM-0015;Suturas Nylon 3-0;486
ITEM-0016;Cubre Bocas Reutilizable;485
ITEM-0017;Guante Nitrilo Talla L;484
ITEM-0018;Guante Nitrilo Talla M;483
ITEM-0019;Clorhexidina 0.05% 1L;482
ITEM-0020;Catéter 22G;481
ITEM-0021;Catéter 18G;480
ITEM-0022;Collar isabelino Talla S;479
ITEM-0023;Suturas Nylon 4-0;478
ITEM-0024;Guante Nitrilo Talla M;477
ITEM-0025;Guantes de Látex Talla M;476
ITEM-0026;Catéter 20G;475
ITEM-0027;Limpia Pisos 1L;474
ITEM-0028;Agujas Hipodérmicas 23G;473
ITEM-0029;Toallas Desechables;472
ITEM-0030;Collar isabelino Talla L;471
ITEM-0031;Compresas Estériles;470
ITEM-0032;Catéter 18G;469
ITEM-0033;Bolsas Biohazard 30L;468
ITEM-0034;Suturas Nylon 3-0;467
ITEM-0035;Antiséptico Povidona 10% 120ml;466
ITEM-0036;Guante Nitrilo Talla S;465
ITEM-0037;Hisopos Estériles;464
ITEM-0038;Jeringa 10ml;463
ITEM-0039;Toallas Desechables;462
ITEM-0040;Cubre Bocas Reutilizable;461
ITEM-0041;Cinta Micropore 2.5cm;460
ITEM-0042;Antiséptico Povidona 10% 120ml;459
ITEM-0043;Jeringa 5ml;458
ITEM-0044;Catéter 22G;457
ITEM-0045;Hisopos Estériles;456
ITEM-0046;Cinta Micropore 2.5cm;455
ITEM-0047;Gasas 10x10;454
ITEM-0048;Clorhexidina 0.05% 1L;453
ITEM-0049;Bisturí #11;452
ITEM-0050;Gasas 10x10;451
ITEM-0051;Mascarilla Quirúrgica;450
ITEM-0052;Mascarilla Quirúrgica;449
ITEM-0053;Suturas Nylon 4-0;448
ITEM-0054;Solución Hartmann 1L;447
ITEM-0055;Guante Nitrilo Talla L;446
ITEM-0056;Guantes Desechables Vinilo M;445
ITEM-0057;Bolsas Biohazard 60L;444
ITEM-0058;Collar isabelino Talla L;443
ITEM-0059;Gasas 5x5;442
ITEM-0060;Bisturí #11;441
ITEM-0061;Clorhexidina 0.05% 1L;440
ITEM-0062;Guantes de Látex Talla M;439
ITEM-0063;Termómetro Digital;438
ITEM-0064;Agujas Hipodérmicas 21G;437
ITEM-0065;Suturas Poliglactina 910 3-0;436
ITEM-0066;Bisturí #10;435
ITEM-0067;Guantes de Látex Talla L;434
ITEM-0068;Catéter 20G;433
ITEM-0069;Limpia Pisos 1L;432
ITEM-0070;Alcohol 70% 500ml;431
ITEM-0071;Guante Nitrilo Talla L;430
ITEM-0072;Cánula Nasal;429
ITEM-0073;Catéter 18G;428
ITEM-0074;Termómetro Digital;427
ITEM-0075;Clorhexidina 0.05% 1L;426
ITEM-0076;Catéter 18G;425
ITEM-0077;Gasas 10x10;424
